trat;n_ninfas;lagarta_vivas_mortas
ovos_no_solo;0;1
ovos_no_solo;4;0
ovos_no_solo;2;0
ovos_no_solo;1;0
ovos_no_solo;0;1
ovos_no_solo;2;1
ovos_no_solo;0;1
ovos_no_solo;2;0
ovos_no_solo;3;0
ovos_no_solo;4;0
ovos_no_solo;0;1
ovos_no_solo;2;0
ovos_no_solo;0;1
ovos_no_solo;1;1
ovos_no_solo;0;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;2;1
cartela_na_folha;1;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;2;0
cartela_na_folha;1;1
cartela_na_folha;0;1
cartela_na_folha;0;1
cartela_na_folha;0;1
ovos_granel_testemunha;4;
ovos_granel_testemunha;4;
ovos_granel_testemunha;2;
ovos_granel_testemunha;5;
ovos_granel_testemunha;3;
ovos_granel_testemunha;5;
ovos_granel_testemunha;3;
ovos_granel_testemunha;3;
ovos_granel_testemunha;4;
ovos_granel_testemunha;3;
ovos_granel_testemunha;4;
ovos_granel_testemunha;5;
ovos_granel_testemunha;4;
ovos_granel_testemunha;3;
ovos_granel_testemunha;2;
cartela_testemunha;3;
cartela_testemunha;3;
cartela_testemunha;3;
cartela_testemunha;4;
cartela_testemunha;5;
cartela_testemunha;5;
cartela_testemunha;3;
cartela_testemunha;3;
cartela_testemunha;3;
cartela_testemunha;2;
cartela_testemunha;4;
cartela_testemunha;3;
cartela_testemunha;5;
cartela_testemunha;5;
cartela_testemunha;4;
