trat;rep;fresh_weight_g;dry_weight_g
without_caterpillar;1;;
without_caterpillar;2;11,998;6,772
without_caterpillar;3;6,788;4,335
without_caterpillar;4;5,685;3,882
without_caterpillar;5;16,775;10,306
without_caterpillar;6;15,115;9,325
without_caterpillar;7;22,084;13,47
without_caterpillar;8;20,039;12,635
without_caterpillar;9;14,081;9,328
without_caterpillar;10;14,213;8,928
without_caterpillar;11;11,217;6,672
without_caterpillar;12;22,171;14,271
without_caterpillar;13;11,843;7,175
without_caterpillar;14;17,978;10,99
without_caterpillar;15;9,813;5,247
with_caterpillar;1;7,483;4,661
with_caterpillar;2;20,951;11,949
with_caterpillar;3;19,547;12,152
with_caterpillar;4;11,434;5,893
with_caterpillar;5;10,044;5,917
with_caterpillar;6;11,151;6,577
with_caterpillar;7;15,661;9,005
with_caterpillar;8;10,01;5,307
with_caterpillar;9;7,049;4,251
with_caterpillar;10;13,016;7,874
with_caterpillar;11;11,738;7,047
with_caterpillar;12;13,028;7,631
with_caterpillar;13;9,669;5,78
with_caterpillar;14;8,024;3,837
with_caterpillar;15;11,515;6,345
with_caterpillar_adults_podisus;1;13,519;8,259
with_caterpillar_adults_podisus;2;14,206;8,653
with_caterpillar_adults_podisus;3;15,076;8,854
with_caterpillar_adults_podisus;4;18,857;10,481
with_caterpillar_adults_podisus;5;13,645;8,678
with_caterpillar_adults_podisus;6;18,529;10,769
with_caterpillar_adults_podisus;7;9,7;6,388
with_caterpillar_adults_podisus;8;5,824;3,697
with_caterpillar_adults_podisus;9;18,301;11,194
with_caterpillar_adults_podisus;10;13,15;8,06
with_caterpillar_adults_podisus;11;15,102;8,834
with_caterpillar_adults_podisus;12;9,333;4,817
with_caterpillar_adults_podisus;13;20,243;12,345
with_caterpillar_adults_podisus;14;8,82;5,68
with_caterpillar_adults_podisus;15;12,113;7,134
with_caterpillar_eggs_podisus;1;21,39;12,506
with_caterpillar_eggs_podisus;2;17,299;10,266
with_caterpillar_eggs_podisus;3;7,719;4,447
with_caterpillar_eggs_podisus;4;5,439;3,135
with_caterpillar_eggs_podisus;5;12,553;7,524
with_caterpillar_eggs_podisus;6;20,794;12,778
with_caterpillar_eggs_podisus;7;8,275;4,305
with_caterpillar_eggs_podisus;8;8,613;5,218
with_caterpillar_eggs_podisus;9;15,759;9,273
with_caterpillar_eggs_podisus;10;11,147;6,343
with_caterpillar_eggs_podisus;11;7,896;4,624
with_caterpillar_eggs_podisus;12;6,508;4,019
with_caterpillar_eggs_podisus;13;16,621;10,064
with_caterpillar_eggs_podisus;14;12,297;7,369
with_caterpillar_eggs_podisus;15;8,154;4,791
